 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
279,5,13,1167.693,801.718,0,7.191,5.087,35.069,294.673,2805.229,1.175E-6
280,5,14,1165.881,793.887,0,4.858,4.938,35.030,303.920,2958.910,0.393
281,5,15,978.110,855.336,0,5.152,5.992,50.647,493.508,5152.181,0.080
282,5,16,1242.985,904.583,0,5.371,5.120,41.869,416.989,4510.554,3.324
283,5,18,1463.985,864.234,0,3.456,6.203,54.439,546.567,5831.955,2.128
284,5,19,1238.989,855.681,0,6.605,4.882,35.825,325.558,3293.409,2.237E-4
285,5,20,1137.162,1055.471,0,4.766,7.493,69.926,713.479,7633.198,1.661
286,5,22,1118.914,1075.355,0,4.867,7.997,71.298,686.268,6989.557,4.705
287,5,23,1074.946,1081.077,0,5.570,7.707,68.719,668.608,6881.203,1.815
288,5,24,952.822,1179.881,0,4.527,7.312,67.144,675.937,7130.155,2.728
289,5,25,839.016,1153.181,0,3.927,6.571,57.564,567.647,5931.603,29.163
290,5,26,790.186,1086.623,0,4.007,8.222,75.510,731.220,7358.539,4.794
291,5,27,775.650,1134.625,0,4.027,7.258,62.483,596.431,6085.940,26.583
292,5,32,823.525,1299.058,0,4.939,7.070,63.359,628.987,6605.376,2.562
293,5,33,770.019,1294.916,0,4.853,6.634,55.349,520.904,5287.940,6.527
294,5,34,714.986,1275.008,0,3.892,7.669,67.808,647.804,6513.776,24.379
295,5,35,505.022,1424.721,0,5.326,6.635,55.364,527.586,5454.420,4.068
296,5,36,561.916,1492.297,0,3.960,7.802,68.527,655.271,6665.761,0.656
297,5,37,707.941,1569.960,0,3.753,6.341,52.461,503.688,5250.274,2.707
298,5,38,778.474,1706.796,0,4.781,6.186,56.302,585.493,6444.790,1.605
299,5,39,859.186,1867.803,0,6.179,6.019,50.984,498.142,5195.085,0.841
300,5,40,849.794,1862.374,0,5.860,4.487,31.760,283.459,2831.053,8.082E-6
301,5,41,847.881,1854.433,0,3.689,5.704,45.795,434.981,4505.272,7.338E-5
302,5,44,874.039,1707.982,0,6.185,4.244,27.489,232.873,2301.071,0.370
303,5,45,948.812,1699.908,0,3.609,6.475,55.936,551.266,5827.479,41.890
